oid	acr	dyadid	sideb	sdate	edate	periods	supp1	supp2	supp3	rs	cl	tk	gs	tc	lsupp	riv	cinc	rdem	gwno	alls	rgdpch	POLITY	noactors	mg
IND-1989	IND	3310-1	ABSU	1989-03-16	1990-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0596297	-3.222	750	2	1840.44	8	2	1
IND-1989	IND	1290.3-2	MCC	1989-01-01	2004-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0596297	-3.222	750	2	1840.44	8	2	1
IND-1989	IND	2710-2	BPAC	1989-03-16	1990-12-31	1	.	.	.	much weaker	0	.	.	0	0	1	0.0596297	-3.222	750	2	1840.44	8	3	1
IND-1989	IND	2700-1	Kashmir Insurgents	1989-12-11	2004-12-31	1	1	1	1	much weaker	.	1	0	0	0	1	0.0596297	-3.222	750	2	1840.44	8	1	0
IND-1989	IND	1290.3-1	Naxalites/PWG	1989-01-01	2004-12-31	1	1	0	.	much weaker	0	0	0	0	0	1	0.0596297	-3.222	750	2	1840.44	8	2	1
IND-1992	IND	2390.2-1	NLFT	1992-10-12	2004-12-31	1	1	0	.	much weaker	0	0	0	0	0	1	0.0631369	-1.778	750	2	1896.78	8	2	1
IND-1992	IND	3310-2	BDSF/NDFB	1992-01-01	2004-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0631369	-1.778	750	2	1896.78	8	2	1
IND-1992	IND	1540.2-1	NSCN	1992-07-31	1997-08-01	1	1	1	1	much weaker	0	1	0	0	0	1	0.0631369	-1.778	750	2	1896.78	8	1	0
IND-1994	IND	2530-2	UNLF	1994-08-21	2004-12-31	1	1	0	.	much weaker	0	0	0	0	0	1	0.0641001	-1.778	750	2	1976.51	8	3	1
IND-1995	IND	2390.2-2	ATTF	1995-10-31	2004-12-31	1	1	0	.	much weaker	.	0	0	0	0	1	0.0653954	-1.778	750	2	2106.45	9	2	1
IND-1995	IND	2710-3	BLTF	1995-01-01	2004-12-31	1	1	0	.	much weaker	0	0	0	0	0	1	0.0653954	-1.778	750	2	2106.45	9	3	1
IND-1997	IND	2530-3	KNF	1997-07-13	1997-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0662529	-1.444	750	1	2244.49	9	3	1
INS-1950	INS	1400-1	Republic of South Moluccas	1950-08-05	1950-11-15	1	0	0	0	weak	1	0	0	1	0	0	0.0179285	4	850	0	1071.28	0	1	0
INS-1953	INS	1460.1-1	PRRI	1953-09-20	1953-12-31	1	1	1	1	weak	0	0	1	1	0	0	0.0114029	3	850	0	1071.28	0	3	1
INS-1953	INS	1460.1-3	Darul Islam Movement	1953-09-20	1953-12-31	1	0	0	0	weak	1	0	1	1	0	0	0.0114029	3	850	0	1071.28	0	3	1
INS-1953	INS	1460.1-2	Permesta movement	1953-09-20	1953-12-31	1	1	1	1	weak	0	0	1	0	0	0	0.0114029	3	850	0	1071.28	0	3	1
INS-1958	INS	1460.2-1	PRRI	1958-02-15	1961-12-31	1	1	1	1	weak	0	0	1	1	0	0	0.0126336	4.5	850	0	1071.28	-1	3	1
INS-1958	INS	1460.2-3	Darul Islam Movement	1958-02-15	1961-12-31	1	0	0	0	weak	1	0	1	1	0	0	0.0126336	4.5	850	0	1071.28	-1	3	1
INS-1958	INS	1460.2-2	Permesta movement	1958-02-15	1961-12-31	1	1	1	1	weak	0	0	1	0	0	0	0.0126336	4.5	850	0	1071.28	-1	3	1
INS-1965	INS	1940.1-1	OPM	1965-01-01	1965-12-31	1	0	0	0	much weaker	0	1	0	1	0	1	0.0126147	4.5	850	0	1016.37	-5	1	0
INS-1975	INS	2340.1-1	Fretilin	1975-12-07	1989-12-31	2	0	0	0	weak	0	0	1	0	0	0	0.0120874	3.6	850	0	1732.22	-7	1	0
INS-1978	INS	1940.2-1	OPM	1978-01-01	1978-08-31	1	0	0	0	much weaker	0	1	0	1	0	0	0.0127608	3.4	850	0	2068.55	-7	1	0
INS-1989	INS	2720.1-1	GAM	1989-06-01	1991-06-15	1	1	0	.	weak	1	0	1	1	0	0	0.0133479	5	850	0	2794.44	-7	1	0
INS-1992	INS	2340.2-1	Fretilin	1992-01-01	1992-12-31	1	0	0	0	much weaker	0	0	1	0	0	0	0.0147299	5.5	850	0	3314.47	-7	1	0
INS-1997	INS	2340.3-1	Fretilin	1997-01-01	1998-12-31	1	0	0	0	much weaker	0	0	1	0	0	0	0.0173013	5.333	850	1	3966.4	-7	1	0
INS-1999	INS	2720.2-1	GAM	1999-01-01	2004-12-31	1	1	0	.	weak	1	0	1	1	0	0	0.0166692	5.333	850	1	3595.77	6	1	0
IRN-1946	IRN	1070-1	Republic of Azerbaijan	1946-01-01	1946-12-15	1	1	1	1	much weaker	1	1	1	1	0	0	0.0045245	-3.857	630	5	2645.38	-1	1	0
IRN-1946	IRN	1060.1-1	Republic of Kurdistan/KDPI	1946-01-01	1946-12-15	1	1	1	1	much weaker	0	1	1	1	0	0	0.0045245	-3.857	630	5	2645.38	-1	1	0
IRN-1979	IRN	2450-1	APCO	1979-10-03	1980-12-31	1	0	0	0	weak	0	1	0	0	0	1	0.0100691	-7.364	630	0	6316.7	-88	1	0
IRN-1979	IRN	2440.1-1	Mujahideen e Khalq	1979-01-01	1982-12-31	1	1	1	1	much weaker	0	0	0	0	0	1	0.0100691	-7.364	630	4	6316.7	-88	1	0
IRN-1979	IRN	1060.2-1	KDPI	1979-03-15	1993-11-15	1	0	0	0	much weaker	0	1	0	0	0	1	0.0100691	-7.364	630	0	6316.7	-88	1	0
IRN-1986	IRN	2440.2-1	Mujahideen e Khalq	1986-01-01	1988-12-31	1	1	1	1	much weaker	0	0	0	0	0	1	0.0090918	-7.273	630	0	4623.15	-6	1	0
IRN-1991	IRN	2440.3-1	Mujahideen e Khalq	1991-01-01	1993-12-31	1	1	1	1	much weaker	0	0	0	0	0	1	0.0110698	-3.941	630	0	4680.04	-6	1	0
IRN-2000	IRN	2440.4-1	Mujahideen e Khalq	2000-01-01	2001-12-31	1	1	1	1	much weaker	0	0	0	0	0	1	0.012914	-4.588	630	0	6045.53	3	1	0
IRQ-1958	IRQ	1620.1-1	Military Faction	1958-07-14	1958-07-14	1	0	0	0	strong	1	0	0	0	0	1	0.0017803	-4.111	645	12	4251.72	-5	1	0
IRQ-1959	IRQ	1620.2-1	Nationalists	1959-03-08	1959-03-15	1	0	0	0	weak	0	0	0	0	0	1	0.0017644	-4.111	645	14	4218.73	-5	1	0
IRQ-1961	IRQ	1740.1-1	KDP/DPK	1961-09-10	1970-03-11	1	1	1	1	much weaker	0	1	0	1	0	1	0.0021278	-2.182	645	11	5225.71	-5	1	0
IRQ-1963	IRQ	1620.3-1	Military Faction	1963-11-18	1963-11-18	1	0	0	0	strong	1	0	0	0	0	1	0.0020337	-4.273	645	12	5059.32	-5	1	0
IRQ-1973	IRQ	1740.2-1	KDP/DPK	1973-01-01	1993-12-31	2	1	1	1	much weaker	0	1	0	1	0	1	0.0027921	-2.3	645	18	2129.43	-7	2	1
IRQ-1976	IRQ	1740.2-2	PUK	1976-01-01	1993-12-15	2	1	1	1	much weaker	0	1	0	1	0	1	0.0040125	-3.8	645	20	2818.85	-7	2	1
IRQ-1982	IRQ	1620.4-1	SAIRI	1982-08-01	1984-12-31	1	1	1	1	much weaker	.	1	0	0	0	1	0.0064544	-4.727	645	20	2154.16	-9	1	0
IRQ-1987	IRQ	1620.5-1	SAIRI	1987-01-01	1987-12-31	1	1	1	1	much weaker	.	1	0	0	0	1	0.0107034	-3.727	645	20	3005.1	-9	1	0
IRQ-1991	IRQ	1620.6-1	SAIRI	1991-01-01	1996-12-31	1	1	1	1	much weaker	.	1	0	0	0	1	0.0083527	-1.385	645	19	927.4	-9	1	0
ISR-1965	ISR	1370.1-1.1	Fatah	1965-01-03	1993-09-13	1	1	1	1	much weaker	0	1	1	0	0	1	0.0014292	-4.75	666	0	9015.02	10	8	1
ISR-1972	ISR	1370.1-2	PFLP	1972-05-31	2004-12-31	1	1	1	1	much weaker	0	1	1	0	0	1	0.0023548	-4	666	0	13214.58	9	8	1
ISR-1974	ISR	1370.1-3	PFLP-GC	1974-12-31	2004-12-31	1	1	1	1	much weaker	0	1	1	0	0	1	0.0032471	-4.875	666	0	14265.52	9	8	1
ISR-1990	ISR	1370.1-4	Hezbollah	1990-11-09	1999-12-31	1	1	1	1	much weaker	0	1	1	0	0	1	0.0030156	-3.625	666	1	16446.54	9	8	1
ISR-1993	ISR	1370.1-5	Hamas	1993-09-12	2004-12-31	1	0	0	0	much weaker	0	1	1	0	0	1	0.0037424	-3.5	666	0	17980.33	9	8	1
ISR-1996	ISR	1370.1-6	PNA	1996-09-25	2004-12-31	1	.	.	.	weak	0	.	.	0	0	1	0.0044048	-3.5	666	1	20340.59	9	8	1
ISR-2000	ISR	1370.1-1.2	Fatah	2000-11-01	2004-12-31	2	0	0	0	much weaker	0	1	1	1	0	1	0.0041065	-3.375	666	1	22236.9	10	8	1
ISR-2002	ISR	1370.1-7	AMB	2002-03-26	2004-12-31	1	0	0	0	much weaker	0	1	1	0	0	1	0.0042276	-3.375	666	1	20945.64	10	8	1
KEN-1982	KEN	2540-1	Military Faction	1982-08-01	1982-08-01	1	0	0	0	weak	0	0	0	0	0	1	0.0012709	-6	501	1	1241.48	-7	1	0
LAO-1959	LAO	1650.1-1	Pathet Lao	1959-11-12	1973-02-22	1	1	1	1	parity	1	0	1	1	0	0	0.0004277	-4.667	812	0	986.75	8	2	1
LAO-1960	LAO	1650.1-2	Neutrals	1960-12-10	1961-12-31	1	1	1	1	weak	0	0	1	0	0	0	0.0004505	-4.5	812	0	986.75	-1	2	1
LAO-1989	LAO	1650.2-1	ULNLF	1989-12-01	1990-12-31	1	1	1	1	weak	0	1	1	1	0	0	0.0005273	-5.4	812	0	1276.16	-7	1	0
LBR-1980	LBR	2470.1-1	Military Faction	1980-08-12	1980-08-12	1	0	0	0	strong	1	0	0	0	0	0	0.0002146	-5	450	2	1718.69	-7	1	0
LBR-1989	LBR	2470.2-1	NPFL	1989-12-31	1995-08-26	1	1	1	1	strong	0	0	1	1	0	0	0.0002103	-6.429	450	14	960.97	-6	3	1
LBR-1990	LBR	2470.2-3	INPFL	1990-09-09	1992-09-30	1	0	0	0	strong	0	0	1	1	0	0	0.0002084	-6.143	450	14	553.4	-77	3	1
LBR-1996	LBR	2470.2-4	Ulimo-J	1996-04-06	1996-11-12	1	1	0	.	weak	0	0	0	0	0	0	0.0002024	0	450	14	186.98	-88	3	1
LBR-2000	LBR	2470.3-1	LURD	2000-01-01	2004-12-31	1	1	1	1	weak	0	0	0	0	0	0	0.0002814	1.143	450	14	472.44	0	1	0
LEB-1958	LEB	1630.1-1	Independent Nasserite Movement /Mourabitoun militia	1958-05-15	1958-10-15	1	1	0	.	parity	.	1	1	1	0	0	0.000426	-3.857	660	8	3588.05	2	1	0
LEB-1975	LEB	1630.2-1	Lebanese National Movement	1975-04-13	1976-10-16	1	0	0	0	parity	.	0	1	1	0	0	0.0005348	-1.875	660	19	3588.05	-77	1	0
LEB-1982	LEB	1630.3-3	Lebanese National Movement	1982-01-01	1989-09-30	2	0	0	0	strong	.	0	1	1	0	0	0.0004398	-3.75	660	19	3588.05	-77	3	1
LEB-1982	LEB	1630.3-1	Lebanese Front	1982-01-01	1989-09-30	1	1	1	1	strong	.	0	1	1	0	0	0.0004398	-3.75	660	19	3588.05	-77	3	1
LEB-1989	LEB	1630.3-2	Lebanese Army	1989-03-15	1990-10-13	1	.	.	.	strong	1	.	.	0	0	0	0.0003623	-1.25	660	19	3588.05	-77	3	1
LES-1998	LES	3200-1	Military Faction	1998-09-04	1998-09-24	1	0	0	0	parity	0	0	1	0	0	0	0.0001069	3.75	570	0	1843.03	-77	1	0
MAC-2001	MAC	3260-1	UCK [Ushtria Clirimtare Kombetare: National Liberation Army]	2001-01-22	2001-08-12	1	0	0	0	much weaker	0	1	1	0	0	0	0.0003243	6	343	0	5188.77	6	1	0
MAG-1971	MAG	2140-1	Monima National Independence Movement	1971-01-01	1971-04-03	1	0	0	0	weak	0	0	0	0	0	0	0.0005175	-8	580	1	1394.01	-1	1	0
MAL-1963	MAL	1830-1	CCO	1963-01-01	1966-08-11	1	1	1	1	much weaker	0	0	1	0	0	1	0.0015072	-4.167	820	1	2016.71	10	1	0
MAL-1974	MAL	1640.1-1	CPM	1974-01-01	1975-12-31	1	0	0	0	weak	0	0	1	1	0	0	0.0017083	-4.833	820	0	3714.91	4	1	0
MAL-1981	MAL	1640.2-1	CPM	1981-01-01	1981-10-15	1	0	0	0	weak	0	0	1	1	0	0	0.0021979	-5.6	820	0	5161.41	4	1	0
MEX-1994	MEX	3080-1	EZLN	1994-01-01	1994-01-12	1	0	0	0	weak	1	0	0	1	0	0	0.0139622	5	70	33	7327.61	4	1	0
MLD-1992	MLD	3010-1	Dniestr Republic	1992-03-01	1992-07-21	1	0	0	0	parity	1	1	1	1	0	0	0.0006778	6.545	359	0	2900.68	5	1	0
MLI-1990	MLI	2790.1-1	MPA	1990-06-01	1990-12-31	1	1	1	1	weak	.	1	0	0	0	0	0.0004565	-5.75	432	6	864.21	-7	1	0
MLI-1994	MLI	2790.2-1	FIAA	1994-01-01	1994-12-31	1	1	0	.	weak	.	1	0	0	0	0	0.0005375	-3.25	432	6	922.3	7	1	0
MOR-1971	MOR	2150-1	Military Faction	1971-07-10	1971-07-11	1	0	0	0	weak	1	0	0	0	0	1	0.0021187	-7.8	600	13	2368.28	-9	1	0
MOR-1975	MOR	2350-1	POLISARIO	1975-01-20	1989-10-11	1	1	1	1	weak	0	0	1	1	0	1	0.0024457	-8.6	600	19	2582.25	-9	1	0
MYA-1948	MYA	1240.1-1	BCP	1948-03-28	1988-09-18	3	1	1	1	weak	0	0	0	1	0	0	0.0022862	0.75	775	0	327.06	8	2	1
MYA-1948	MYA	1240.1-2	Red Flag Movement	1948-03-28	1958-07-31	2	.	.	.	weak	0	.	.	0	0	0	0.0022862	0.75	775	0	327.06	8	2	1
MYA-1948	MYA	1260.1-1	MPF	1948-01-01	1958-07-31	1	.	.	.	much weaker	0	.	.	1	0	0	0.0022862	0.75	775	0	327.06	8	2	1
MYA-1948	MYA	1250.1-1	Arakan People's Liberation Party	1948-01-01	1958-07-31	1	0	0	0	much weaker	0	0	0	0	0	0	0.0022862	0.75	775	0	327.06	8	1	0
MYA-1949	MYA	1340.1-1	PNDF	1949-11-15	1950-04-15	1	.	.	.	much weaker	0	.	.	0	0	0	0.0022247	-1.6	775	0	327.06	8	1	0
MYA-1949	MYA	1230-1	KNU	1949-02-01	2004-12-31	3	1	0	.	weak	1	0	0	1	0	0	0.0022247	-1.6	775	0	327.06	8	1	0
MYA-1957	MYA	1560.1-1	KNPP	1957-01-01	1957-12-31	1	0	0	0	much weaker	0	0	0	0	0	0	0.002262	-2.444	775	0	387.3	8	1	0
MYA-1958	MYA	1260.1-2	NMSP	1958-12-31	1990-12-31	2	.	.	.	much weaker	0	.	.	0	0	0	0.0023752	-2.556	775	0	372.96	8	2	1
MYA-1960	MYA	1670-1	SSIA	1960-01-01	1970-12-31	2	0	0	0	much weaker	0	0	0	1	0	0	0.0025478	-3.444	775	0	453.29	8	4	1
MYA-1961	MYA	1340.2-1	KIO	1961-01-01	1992-12-01	1	1	1	1	weak	0	1	0	1	0	0	0.0026052	-4.444	775	0	448.98	8	1	0
MYA-1962	MYA	1250.2-1	Communist Party of Arakan	1962-03-11	1980-12-31	1	0	0	0	much weaker	0	0	0	0	0	0	0.0026393	-3.556	775	0	535.05	-6	1	0
MYA-1967	MYA	1670-2	SSNPLO	1967-01-01	1988-12-31	1	0	0	0	much weaker	0	.	.	1	0	0	0.0027685	-3.667	775	0	543.66	-7	4	1
MYA-1976	MYA	1670-3	MTA	1976-01-01	1996-01-03	1	0	0	0	weak	0	0	1	1	0	0	0.0034601	-4.556	775	0	619.68	-6	4	1
MYA-1990	MYA	1240.2-1	ABSDF	1990-03-20	1994-12-31	1	0	0	0	much weaker	0	0	0	0	0	0	0.003759	-3.444	775	0	876.45	-7	1	0
MYA-1991	MYA	1250.3-2	Arakan Rohingya Islamic Front	1991-12-31	1992-12-31	1	0	0	0	much weaker	0	0	0	0	0	0	0.0043059	-2.667	775	0	876.45	-7	2	1
MYA-1991	MYA	1250.3-1	Rohingya Solidarity Organisation	1991-12-29	1994-12-31	1	1	1	1	much weaker	0	0	0	0	0	0	0.0043059	-2.667	775	0	876.45	-7	2	1
MYA-1992	MYA	1560.2-1	KNPP	1992-01-01	1992-12-31	1	0	0	0	much weaker	0	.	.	0	0	0	0.0042925	-1.556	775	0	876.45	-7	1	0
MYA-1996	MYA	1260.2-1	BMA	1996-12-31	1997-05-31	1	.	.	.	much weaker	0	.	.	0	0	0	0.0051145	-0.333	775	0	876.45	-7	1	0
MYA-1996	MYA	1670-4	SSA	1996-12-19	2004-12-31	1	0	0	0	much weaker	0	0	0	1	0	0	0.0051145	-0.333	775	0	876.45	-7	4	1
MYA-1996	MYA	1560.3-1	KNPP	1996-01-01	1996-10-15	1	0	0	0	much weaker	0	.	.	0	0	0	0.0051145	-0.333	775	0	876.45	-7	1	0
MYA-1997	MYA	3320-1	UWSA	1997-03-16	1997-12-31	1	0	0	0	much weaker	0	0	0	1	0	0	0.0051137	-1.222	775	0	876.45	-7	1	0
MZM-1976	MZM	2360-1	Renamo	1976-01-01	1992-10-04	1	1	1	1	parity	0	1	1	1	0	1	0.0007263	-4.2	541	0	1169.16	-8	1	0
NEP-1960	NEP	1720.1-1	Nepali Congress	1960-02-01	1962-08-15	1	0	0	0	weak	1	0	0	0	0	0	0.0007472	-4	790	0	800.16	-10	1	0
NEP-1996	NEP	1720.2-1	CPN-M/UPF	1996-07-13	2004-12-31	1	0	0	0	weak	0	0	1	1	0	0	0.0010343	-0.5	790	0	1302.38	5	1	0
NIC-1978	NIC	2400.1-1	FSLN	1978-02-02	1979-07-17	1	1	1	1	weak	0	0	0	1	0	1	0.0002924	-1.833	93	24	6793.39	-8	1	0
NIC-1981	NIC	2400.2-1	FDN/Contras	1981-12-01	1989-10-15	1	1	1	1	weak	0	0	1	0	0	1	0.0005369	-2	93	26	5369.02	-5	1	0
NIG-1966	NIG	2000-1	Military Faction	1966-01-15	1966-01-15	1	0	0	0	strong	1	0	0	0	0	0	0.0044841	-7.1	475	0	939.31	-7	1	0
NIG-1967	NIG	2070-1	Republic of Biafra	1967-07-06	1970-01-12	1	1	1	1	parity	1	1	1	1	0	0	0.0045132	-7.2	475	0	790.22	-7	1	0
NIR-1992	NIR	2800.1-1	FLAA	1992-10-31	1992-12-31	1	0	0	0	weak	.	1	1	0	0	0	0.0004134	-3	436	14	908.48	8	2	1
NIR-1994	NIR	2800.1-2	CRA	1994-05-16	1994-10-09	1	0	0	0	weak	.	1	1	0	0	0	0.0004301	-2.4	436	14	857.86	8	2	1
NIR-1996	NIR	3150-1	FDR	1996-02-06	1996-12-31	1	0	0	0	weak	.	0	1	0	0	0	0.0004488	-1.4	436	14	805.03	-6	2	1
NIR-1997	NIR	3150-2	FARS	1997-01-01	1997-11-29	1	0	0	0	weak	.	0	0	0	0	0	0.0006814	-1.4	436	14	833.08	-6	2	1
NIR-1997	NIR	2800.2-1	UFRA	1997-11-29	1997-11-29	1	0	0	0	weak	.	1	1	0	0	0	0.0006814	-1.4	436	14	833.08	-6	1	0
NTH-1945	NTH	1050-1	Indonesian Peoples Army	1945-10-13	1949-12-27	1	0	0	0	weak	0	0	1	1	0	0	0.0038845	8	210	0	7814.76	10	1	0
OMA-1972	OMA	2210-1	PFLOAG	1972-01-01	1975-12-31	1	1	1	1	weak	0	1	1	1	0	0	0.0001011	-9	698	17	8806.62	-10	1	0
PAK-1971	PAK	2160-1	Mukti Bahini: Liberation Force	1971-03-26	1971-12-16	1	1	1	1	parity	0	1	0	1	0	1	0.008665	-5.5	770	9	1245.26	-77	1	0
PAK-1974	PAK	2290-1	Baluchi separatists	1974-01-01	1977-07-05	1	0	0	0	much weaker	0	1	1	0	0	1	0.0084455	-5.5	770	4	1291.95	8	1	0
PAK-1995	PAK	3120-1	MQM	1995-01-01	1996-12-13	1	0	0	0	much weaker	0	0	0	0	0	1	0.0127867	-5.556	770	1	2427.08	8	1	0
PAN-1989	PAN	2740-1	Military Faction	1989-10-03	1989-10-03	1	0	0	0	weak	1	0	0	0	0	0	0.0003107	6.5	95	30	5975.84	8	1	0
PAR-1947	PAR	1220.1-1	Opposition coalition [Febreristas, Liberals and Communists]	1947-01-01	1947-08-21	1	0	0	0	weak	1	0	0	1	0	0	0.0003685	-1.6	150	20	1797.37	-5	1	0
PAR-1954	PAR	1220.2-1	Military Faction	1954-05-05	1954-05-05	1	0	0	0	strong	1	0	0	0	0	0	0.0002979	-0.8	150	20	2395.73	-9	1	0
PAR-1989	PAR	1220.3-1	Military Faction	1989-02-03	1989-02-03	1	0	0	0	parity	1	0	0	0	0	0	0.0003099	8.4	150	30	5174.76	2	1	0
PER-1965	PER	1950.1-1	MIR	1965-10-01	1966-01-15	1	0	0	0	much weaker	0	0	0	0	0	1	0.0022481	-0.2	135	19	3919.18	5	2	1
PER-1965	PER	1950.1-2	ELN	1965-10-01	1966-01-15	1	0	0	0	much weaker	0	0	0	0	0	1	0.0022481	-0.2	135	19	3919.18	5	2	1
PER-1982	PER	1950.2-1	Sendero Luminoso	1982-08-22	1994-01-10	1	0	0	0	much weaker	1	0	0	0	0	1	0.0035524	3	135	29	5011.63	7	3	1
PER-1989	PER	1950.2-2	MRTA	1989-03-14	1993-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.003202	8.4	135	30	3748.43	7	3	1
PER-1994	PER	1950.2-3	Sendero Rojo	1994-01-10	1999-12-31	1	.	.	.	much weaker	1	.	.	0	0	1	0.0034497	8.6	135	33	3824.66	1	3	1
PHI-1946	PHI	1100.1-1	Huk	1946-07-01	1954-09-15	1	0	0	0	parity	0	0	1	1	0	0	0.0034625	-1.5	840	0	1377.12	2	1	0
PHI-1972	PHI	2120-1	MNLF	1972-12-31	1993-12-31	2	1	1	1	weak	0	1	1	0	0	0	0.0039338	-3.667	840	6	2591.63	-9	4	1
PHI-1972	PHI	1100.2-1	NPA	1972-10-05	2004-12-31	1	0	0	0	weak	0	0	1	1	0	0	0.0039338	-3.667	840	7	2591.63	-9	1	0
PHI-1987	PHI	1100.3-1	Military Faction/RAM-SFP	1987-08-27	1990-12-31	1	0	0	0	much weaker	0	0	1	0	0	0	0.0049948	-2.5	840	1	2964.76	8	1	0
PHI-1990	PHI	2120-2	MILF	1990-02-04	2004-12-31	1	0	0	0	weak	0	1	1	0	0	0	0.0051151	-2.25	840	1	3213.57	8	4	1
PHI-1994	PHI	2120-3	Abu Sayyaf	1994-06-06	2004-12-31	1	0	0	0	much weaker	0	1	1	0	0	0	0.0054798	-1	840	1	3290.44	8	4	1
PHI-2001	PHI	2120-4	MNLF (Faction)	2001-11-19	2002-01-31	1	0	0	0	much weaker	0	1	1	0	0	0	0.0057661	3.25	840	1	3644.2	8	4	1
PNG-1989	PNG	2760-1	BRA	1989-01-01	1996-06-15	1	0	0	0	parity	0	1	1	1	0	0	0.0001969	3.333	910	0	3530.92	10	1	0
POR-1961	POR	1660-2	FNLA	1961-02-04	1974-07-31	1	1	1	1	much weaker	0	0	1	0	0	0	0.0018909	-4	235	15	3912.76	-9	3	1
POR-1961	POR	1660-1	MPLA	1961-02-04	1974-07-31	1	1	1	1	weak	0	0	1	0	0	0	0.0018909	-4	235	15	3912.76	-9	3	1
POR-1963	POR	1820-1	PAIGC	1963-02-01	1973-12-31	1	1	1	1	weak	0	1	0	0	0	0	0.0024287	-1.667	235	15	4336.68	-9	1	0
POR-1964	POR	1880-1	Frelimo	1964-11-19	1974-10-31	1	1	1	1	weak	0	1	1	1	0	0	0.0036194	-1.667	235	15	4583.53	-9	1	0
POR-1966	POR	1660-5	UNITA	1966-12-01	1974-07-31	1	1	1	1	weak	1	0	1	1	0	0	0.0026126	-3.667	235	15	5129.54	-9	3	1
ROK-1948	ROK	1320-1	Leftist insurgents (e.g. Inmin-gun: Peoples Army, Military Faction)	1948-04-01	1950-06-25	1	1	1	1	much weaker	.	1	1	0	0	0	0.0043721	-7.333	732	0	1141.82	-3	1	0
RUM-1989	RUM	2770-1	National Salvation Front	1989-12-23	1989-12-25	1	0	0	0	strong	.	0	0	0	0	0	0.0081453	-0.7	360	6	6059.45	-88	1	0
RUS-1946	RUS	1130-1	BDPS	1946-06-06	1953-12-31	1	0	0	0	weak	0	0	0	0	0	1	0.1225411	0.381	365	8	3438.38	-9	1	0
RUS-1946	RUS	1120-1	LTS[p]A	1946-01-01	1947-12-31	1	.	.	.	weak	0	.	.	0	0	1	0.1225411	0.381	365	9	3438.38	-9	2	1
RUS-1946	RUS	1120-2	LNPA	1946-01-01	1947-12-31	1	.	.	.	weak	0	.	.	0	0	1	0.1225411	0.381	365	9	3438.38	-9	2	1
RUS-1946	RUS	1110-1	Forest Brothers	1946-01-01	1949-12-31	1	0	0	0	weak	.	0	0	0	0	1	0.1225411	0.381	365	9	3438.38	-9	1	0
RUS-1946	RUS	1140-1	UPA	1946-01-01	1950-03-05	1	.	.	.	weak	0	.	.	0	0	1	0.1225411	0.381	365	9	3438.38	-9	1	0
RUS-1990	RUS	2840-1	Azerbaijani Popular Front	1990-01-19	1990-01-20	1	0	0	0	much weaker	0	1	0	0	0	0	0.1282664	4	365	21	12401.19	0	1	0
RUS-1990	RUS	2830-1	Government of Armenia and ANM	1990-01-01	1991-08-15	1	0	0	0	parity	1	1	0	1	0	0	0.1282664	4	365	21	12401.19	0	1	0
RUS-1993	RUS	3070-1	Parliamentary forces	1993-10-03	1993-10-04	1	0	0	0	much weaker	1	0	0	0	0	0	0.0570144	3.609	365	28	9554.86	4	1	0
RUS-1994	RUS	3090.1-1	Republic of Chechnya	1994-12-11	1996-08-15	1	1	0	.	weak	0	1	0	1	0	0	0.0661767	3.696	365	29	8920.27	4	1	0
RUS-1999	RUS	3230-1	Republic of Dagestan	1999-08-10	1999-09-24	1	0	0	0	weak	.	1	0	1	0	0	0.0525232	3.261	365	30	8531.38	4	1	0
RUS-1999	RUS	3090.2-1	Republic of Chechnya	1999-08-07	2004-12-31	1	1	0	.	weak	0	1	0	1	0	0	0.0525232	3.261	365	30	8531.38	4	1	0
RVN-1955	RVN	1520-1	FNL	1955-04-01	1964-12-31	1	1	1	1	parity	0	1	1	0	0	1	0.003026	-7.8	817	0	608	-3	1	0
RWA-1990	RWA	2810.1-1	FPR	1990-10-01	1994-07-19	1	1	1	1	strong	1	1	1	0	0	0	0.0003212	-7.2	517	0	1000.24	-7	1	0
RWA-1998	RWA	2810.2-1	Opposition alliance	1998-01-01	2002-12-31	1	1	1	1	weak	0	1	1	0	0	0	0.0005622	-3.6	517	0	942.93	-6	1	0
SAF-1966	SAF	2010-1	SWAPO	1966-08-26	1988-12-22	1	1	1	1	weak	0	1	0	0	0	0	0.0052459	5.25	560	1	5940.88	4	1	0
SAF-1981	SAF	2510-3	Azapo	1981-01-30	1993-10-08	1	1	1	1	much weaker	0	1	0	0	0	1	0.0077147	-4.286	560	0	7539.88	4	3	1
SAF-1981	SAF	2510-1	ANC	1981-01-30	1993-10-08	1	1	1	1	weak	1	1	0	0	0	1	0.0077147	-4.286	560	0	7539.88	4	3	1
SAF-1981	SAF	2510-2	PAC	1981-01-30	1993-10-08	1	1	1	1	much weaker	0	1	0	0	0	1	0.0077147	-4.286	560	0	7539.88	4	3	1
SAL-1972	SAL	2200.1-1	Military Faction	1972-03-25	1972-03-25	1	0	0	0	much weaker	.	0	0	0	0	1	0.0004204	-0.8	92	22	3832.49	-1	1	0
